{} STI
{(0,0)(0,1)(0,2)(1,0)(1,2)(2,1)(2,2)} A
{(0,0)(0,1)(0,2)(1,0)(1,1)(1,2)(2,1)(2,2)} RTA
{(2,0)} TIA
{(1,1)(2,0)} TA
{(1,0)(2,0)} TIA
{(1,0)(1,1)(2,0)} TA
{(0,1)(2,0)} TIA
{(0,1)(1,1)(2,0)} TA
{(0,1)(1,0)(2,0)} IA
{(0,1)(1,0)(1,1)(2,0)} A
{(0,0)(2,0)} TA
{(0,0)(1,1)(2,0)} TA
{(0,0)(1,0)(2,0)} TA
{(0,0)(1,0)(1,1)(2,0)} TA
{(0,0)(0,1)(2,0)} TA
{(0,0)(0,1)(1,1)(2,0)} TA
{(0,0)(0,1)(1,0)(2,0)} A
{(0,0)(0,1)(1,0)(1,1)(2,0)} A
{(2,0)(2,1)} TIA
{(1,1)(2,0)(2,1)} TA
{(1,0)(2,0)(2,1)} TIA
{(1,0)(1,1)(2,0)(2,1)} TA
{(0,1)(2,0)(2,1)} TIA
{(0,1)(1,1)(2,0)(2,1)} TA
{(0,1)(1,0)(2,0)(2,1)} IA
{(0,1)(1,0)(1,1)(2,0)(2,1)} A
{(0,0)(2,0)(2,1)} TA
{(0,0)(1,1)(2,0)(2,1)} TA
{(0,0)(1,0)(2,0)(2,1)} TA
{(0,0)(1,0)(1,1)(2,0)(2,1)} TA
{(0,0)(0,1)(2,0)(2,1)} TA
{(0,0)(0,1)(1,1)(2,0)(2,1)} TA
{(0,0)(0,1)(1,0)(2,0)(2,1)} A
{(0,0)(0,1)(1,0)(1,1)(2,0)(2,1)} A
{(1,2)(2,0)} TIA
{(1,1)(1,2)(2,0)} TA
{(1,0)(1,2)(2,0)} TIA
{(1,0)(1,1)(1,2)(2,0)} TA
{(0,1)(1,2)(2,0)} TIA
{(0,1)(1,1)(1,2)(2,0)} TA
{(0,1)(1,0)(1,2)(2,0)} IA
{(0,1)(1,0)(1,1)(1,2)(2,0)} A
{(0,0)(1,2)(2,0)} TA
{(0,0)(1,1)(1,2)(2,0)} TA
{(0,0)(1,0)(1,2)(2,0)} TA
{(0,0)(1,0)(1,1)(1,2)(2,0)} TA
